date,open,high,low,close,Volume USD
31/12/2024 23:00,93318.55,93565.87,93204.03,93366.3,1121286.739
31/12/2024 22:00,93716.45,93716.45,93224.38,93318.55,716538.4934
31/12/2024 21:00,93361.51,93777.85,93254.03,93716.45,5239730.811
31/12/2024 20:00,94029.03,94067.02,93136.03,93361.51,13767573.72
31/12/2024 19:00,93740.76,94165.55,93561.09,94029.03,8078064.237
31/12/2024 18:00,93947.32,94234.67,93625.5,93740.76,7457759.186
31/12/2024 17:00,94680.78,94861.61,93042.61,93947.32,6373006.486
31/12/2024 16:00,95263.99,95435.15,94429.63,94680.78,5250745.537
31/12/2024 15:00,95561.59,95847.37,94827.03,95263.99,16735895.86
31/12/2024 14:00,95450,96154.96,95264.39,95561.59,15438015.56
31/12/2024 13:00,94418.21,95897.96,94387.63,95450,7612497.056
31/12/2024 12:00,94071.17,94805.27,94071.17,94418.21,3604170.489
31/12/2024 11:00,93956.83,94144.76,93842.98,94071.17,1011923.265
31/12/2024 10:00,93853.36,94117.97,93500.56,93956.83,726446.1447
31/12/2024 9:00,93774.9,94008.82,93658.22,93853.36,2644949.546
31/12/2024 8:00,92729.17,94549.8,92707.73,93774.9,2932093.353
31/12/2024 7:00,92670.72,92780.82,92612.07,92729.17,1594197.378
31/12/2024 6:00,92464.68,92899.54,92419.06,92670.72,1836507.235
31/12/2024 5:00,92261.04,92599.88,92204.44,92464.68,4538524.606
31/12/2024 4:00,92350.75,92648.88,92210.33,92261.04,4303435.925
31/12/2024 3:00,92292.66,92480.56,92079.5,92350.75,1324295.095
31/12/2024 2:00,92262.07,92524.96,92150,92292.66,1908516.524
31/12/2024 1:00,92286.53,92408.19,91862.47,92262.07,972008.826
31/12/2024 0:00,92672.16,92729.4,92210.74,92286.53,2212261.1
30/12/2024 23:00,92627.83,92711.25,92223.04,92672.16,2729464.478
30/12/2024 22:00,92017.61,92811.51,91811.58,92627.83,11350435.12
30/12/2024 21:00,94215.91,94250.22,91768.43,92017.61,6348263.294
30/12/2024 20:00,94273.01,94916.31,94144.4,94215.91,9248197.227
30/12/2024 19:00,94479.01,94495.98,93797.39,94273.01,6373171.176
30/12/2024 18:00,93690.39,94587.37,93413.32,94479.01,11769121.31
30/12/2024 17:00,91933.58,94035.53,91798.38,93690.39,12370860.85
30/12/2024 16:00,91934.32,92063,91622.7,91933.58,6988884.448
30/12/2024 15:00,91671,92259,91270.43,91934.32,9659998.725
30/12/2024 14:00,92523,92982.53,91600,91671,14703158.63
30/12/2024 13:00,93622.88,93703.24,92444.12,92523,7609047.192
30/12/2024 12:00,93778.52,94090.81,93589.57,93622.88,4007680.046
30/12/2024 11:00,93608.58,93778.52,93315.21,93778.52,1343466.168
30/12/2024 10:00,93711.95,93881.61,93546.66,93608.58,698806.4644
30/12/2024 9:00,93668.54,93842.43,93520.5,93711.95,297465.7421
30/12/2024 8:00,93544.1,93773.22,93542.71,93668.54,1031926.211
30/12/2024 7:00,93696.45,93732.69,93143.02,93544.1,1026856.124
30/12/2024 6:00,93358.58,93834.82,93291.4,93696.45,1478287.774
30/12/2024 5:00,93083.81,93366.97,93030.38,93358.58,1570185.608
30/12/2024 4:00,93538.39,93746.46,93079.22,93083.81,1034515.403
30/12/2024 3:00,93704.92,93854.07,93447.9,93538.39,963937.1979
30/12/2024 2:00,93746.84,93765.99,93227.46,93704.92,1717602.545
30/12/2024 1:00,93391.04,94062.05,93065.3,93746.84,2889020.793
30/12/2024 0:00,93552.81,93731.33,93324.46,93391.04,1712824.151
29/12/2024 23:00,92936.46,93675.05,92821.4,93552.81,1781007.214
29/12/2024 22:00,93185.81,93565.5,92900,92936.46,1197569.397
29/12/2024 21:00,93659.21,93751.34,92978.83,93185.81,1777920.188
29/12/2024 20:00,93415.1,93677.32,93155.32,93659.21,1326561.445
29/12/2024 19:00,93465.56,93706.19,93174.95,93415.1,1539736.437
29/12/2024 18:00,93772.11,93792.13,93431.71,93465.56,1835901.951
29/12/2024 17:00,93731.63,93940.02,93632.43,93772.11,898860.517
29/12/2024 16:00,94347.27,94428.16,93380,93731.63,1658630.061
29/12/2024 15:00,94450.56,94615.88,94222.56,94347.27,1240381.175
29/12/2024 14:00,94747.28,95058.74,93886.44,94450.56,3924202.228
29/12/2024 13:00,94759.58,94861.29,94621.88,94747.28,351298.3557
29/12/2024 12:00,94900,94987.05,94759.58,94759.58,1061590.396
29/12/2024 11:00,95000.9,95048.22,94900,94900,119991.0086
29/12/2024 10:00,94979.87,95104.27,94920.64,95000.9,122240.7684
29/12/2024 9:00,94997.22,95030.81,94900,94979.87,149597.9493
29/12/2024 8:00,95133.16,95166.33,94917.49,94997.22,87411.68723
29/12/2024 7:00,95017.84,95133.16,94917.83,95133.16,302995.823
29/12/2024 6:00,94962.02,95043.98,94796.59,95017.84,91117.94203
29/12/2024 5:00,94959.48,95031.43,94908.92,94962.02,103442.1816
29/12/2024 4:00,95005.58,95131.35,94900.58,94959.48,79087.35712
29/12/2024 3:00,95000.06,95036.28,94814.48,95005.58,134627.0596
29/12/2024 2:00,94702.29,95048.04,94702.29,95000.06,185396.7258
29/12/2024 1:00,94972.69,95038.26,94657.38,94702.29,263864.0557
29/12/2024 0:00,95116.77,95163.88,94880,94972.69,717262.429
28/12/2024 23:00,95164.7,95246.86,94927.84,95116.77,2826575.251
28/12/2024 22:00,94968.51,95548.74,94875,95164.7,1868678.506
28/12/2024 21:00,94887.13,95032.48,94793.53,94968.51,467120.4354
28/12/2024 20:00,94832.81,94965,94687.7,94887.13,651179.0177
28/12/2024 19:00,94691.13,94972.07,94679.37,94832.81,556707.0428
28/12/2024 18:00,94867.85,94934.25,94543.56,94691.13,574498.8854
28/12/2024 17:00,94664.41,95075.84,94639.22,94867.85,1191012.62
28/12/2024 16:00,94274.07,94784.26,94224.77,94664.41,1045921.348
28/12/2024 15:00,94412.69,94647.7,94192.37,94274.07,1055009.41
28/12/2024 14:00,94492.94,95155.17,94258.26,94412.69,2169878.553
28/12/2024 13:00,94453.23,94599.64,94345.29,94492.94,716175.054
28/12/2024 12:00,94592.04,94697.87,94452.05,94453.23,141881.5792
28/12/2024 11:00,94462.55,94707.24,94446.02,94592.04,174569.1217
28/12/2024 10:00,94426.14,94556.65,94331.75,94462.55,158358.7371
28/12/2024 9:00,94323.06,94533.51,94316.18,94426.14,328802.8957
28/12/2024 8:00,94211.92,94367.08,94167.47,94323.06,379336.8017
28/12/2024 7:00,94321.66,94494.26,94136.52,94211.92,551214.5834
28/12/2024 6:00,94464.54,94541.75,94254.08,94321.66,256192.8408
28/12/2024 5:00,94377.38,94636.62,94377.38,94464.54,282391.4051
28/12/2024 4:00,94435.86,94489.12,94350.01,94377.38,126995.8135
28/12/2024 3:00,94223.54,94551.71,94200.01,94435.86,148791.9039
28/12/2024 2:00,94419.07,94475.29,94143.73,94223.54,264036.8022
28/12/2024 1:00,94257.4,94453.98,94003.44,94419.07,685066.8957
28/12/2024 0:00,94160.94,94389.99,94139.57,94257.4,564996.8936
27/12/2024 23:00,94298,94370.48,94001.01,94160.94,541141.183
27/12/2024 22:00,94400.61,94513.86,94047.45,94298,4225352.583
27/12/2024 21:00,94417.4,94700.71,94277.24,94400.61,3985957.326
27/12/2024 20:00,94556.53,94620.09,94170.08,94417.4,19819861.73
27/12/2024 19:00,94419.62,94631.22,94087.69,94556.53,11678449.07
27/12/2024 18:00,94133.42,94617.06,94045.4,94419.62,4574998.081
27/12/2024 17:00,93977.14,94178.31,93230.96,94133.42,9318175.776
27/12/2024 16:00,94409.85,94862.68,93943.07,93977.14,13417306.81
27/12/2024 15:00,95526.96,95600.14,93834.91,94409.85,13496785.78
27/12/2024 14:00,96298.72,96391.97,95019.44,95526.96,14281003.73
27/12/2024 13:00,96544.77,96544.77,96133.64,96298.72,8406528.133
27/12/2024 12:00,96827.74,96925.08,96497.57,96544.77,8178502.37
27/12/2024 11:00,96479.05,96830.74,96257.32,96827.74,1480215.27
27/12/2024 10:00,96694.59,96876.57,96082.9,96479.05,2813821.655
27/12/2024 9:00,95642.45,97308.54,95538.27,96694.59,2403756.617
27/12/2024 8:00,94996.36,96273.29,94985.49,95642.45,7114602.982
27/12/2024 7:00,96437.54,96499.25,94500.01,94996.36,8180326.818
27/12/2024 6:00,96131.14,96472.72,95975,96437.54,2651442.831
27/12/2024 5:00,96129.43,96205.21,95875.33,96131.14,2217781.224
27/12/2024 4:00,96306.72,96471.06,96112.13,96129.43,2977036.322
27/12/2024 3:00,95950.85,96338.69,95835.03,96306.72,9692449.032
27/12/2024 2:00,95768.59,96295.76,95600.58,95950.85,4549925.428
27/12/2024 1:00,95661.27,96100.32,95445.35,95768.59,1731604.352
27/12/2024 0:00,95678.9,95812.92,95278.09,95661.27,5164637.367
26/12/2024 23:00,95680.84,95784.61,95265.35,95678.9,3472362.039
26/12/2024 22:00,95716.31,95853.81,95517.57,95680.84,1601966.169
26/12/2024 21:00,95443.32,95826.14,95215.44,95716.31,4875165.533
26/12/2024 20:00,96004.58,96033.79,95268.01,95443.32,12131897.05
26/12/2024 19:00,95648.35,96120.47,95338.71,96004.58,7786596.274
26/12/2024 18:00,95735.91,95909.42,95385.42,95648.35,8241674.927
26/12/2024 17:00,96480,96512.09,95600,95735.91,4473144.287
26/12/2024 16:00,95990.03,96561,95713.66,96480,6267150.665
26/12/2024 15:00,95346.54,96123.57,95138.18,95990.03,11464881.38
26/12/2024 14:00,95586.63,96205.05,95107.97,95346.54,15299738.79
